"","x","V2","V3","V4","V5","V6","V7","V8","V9"
"1",49,49,49,49,49,49,49,49,49
"2",43,43,43,43,43,43,43,43,43
"3",40,40,40,40,40,40,40,40,40
"4",39,39,39,39,39,39,39,39,39
"5",37,37,37,37,37,37,37,37,37
"6",36,36,36,36,36,36,36,36,36
"7",33,33,33,33,33,33,33,33,33
"8",31,31,31,31,31,31,31,31,31
"9",29,29,29,29,29,29,29,29,29
"10",29,29,29,29,29,29,29,29,29
"11",29,29,29,29,29,29,29,29,29
"12",28,28,28,28,28,28,28,28,28
"13",27,27,27,27,27,27,27,27,27
"14",27,27,27,27,27,27,27,27,27
"15",26,26,26,26,26,26,26,26,26
"16",26,26,26,26,26,26,26,26,26
"17",25,25,25,25,25,25,25,25,25
"18",25,25,25,25,25,25,25,25,25
"19",25,25,25,25,25,25,25,25,25
"20",25,25,25,25,25,25,25,25,25
"21",24,24,24,24,24,24,24,24,24
"22",24,24,24,24,24,24,24,24,24
"23",24,24,24,24,24,24,24,24,24
"24",23,23,23,23,23,23,23,23,23
"25",23,23,23,23,23,23,23,23,23
"26",23,23,23,23,23,23,23,23,23
"27",23,23,23,23,23,23,23,23,23
"28",22,22,22,22,22,22,22,22,22
"29",22,22,22,22,22,22,22,22,22
"30",21,21,21,21,21,21,21,21,21
"31",21,21,21,21,21,21,21,21,21
"32",21,21,21,21,21,21,21,21,21
"33",20,20,20,20,20,20,20,20,20
"34",20,20,20,20,20,20,20,20,20
"35",20,20,20,20,20,20,20,20,20
"36",20,20,20,20,20,20,20,20,20
"37",20,20,20,20,20,20,20,20,20
