"","method","mu","nc","value"
"1","single_louvain",5,36,0.995748137345255
"2","single_louvain",5,36,0.994812894855908
"3","single_louvain",5,35,0.991608451235047
"4","single_louvain",5,35,0.991533162664859
"5","single_louvain",5,37,0.99410334294347
"6","single_louvain",5,36,0.994858860250971
"7","single_louvain",5,35,0.991731147326587
"8","single_louvain",5,36,0.994528142160488
"9","single_louvain",5,37,1
"10","single_louvain",5,37,0.99504622789451
"11","single_louvain",5,33,0.981217552502776
"12","single_louvain",5,35,0.990934356731689
"13","single_louvain",5,38,0.994876345958855
"14","single_louvain",5,37,0.994310089864594
"15","single_louvain",5,37,1
"16","single_louvain",5,33,0.9813607082725
"17","single_louvain",5,37,0.99887707669321
"18","single_louvain",5,35,0.991533162664859
"19","single_louvain",5,35,0.991731147326587
"20","single_louvain",5,36,0.995247052005355
"21","single_louvain",5,36,0.995247052005355
"22","single_louvain",5,37,1
"23","single_louvain",5,37,1
"24","single_louvain",5,35,0.989711267748001
"25","single_louvain",5,36,0.995551727254851
"26","single_louvain",5,35,0.992098801922906
"27","single_louvain",5,38,0.999092829496177
"28","single_louvain",5,36,0.994404754363265
"29","single_louvain",5,37,0.998858021607467
"30","single_louvain",5,36,0.996017020181331
"31","single_louvain",5,36,0.995626417019091
"32","single_louvain",5,34,0.982119146715354
"33","single_louvain",5,36,0.994620439522792
"34","single_louvain",5,36,0.995626417019091
"35","single_louvain",5,34,0.987284775479124
"36","single_louvain",5,36,0.995748137345255
"37","single_louvain",5,33,0.980449010442695
"38","single_louvain",5,35,0.991608451235047
"39","single_louvain",5,35,0.99122604429596
"40","single_louvain",5,36,0.996017020181331
"41","single_louvain",5,36,0.990953005412903
"42","single_louvain",5,35,0.991608451235047
"43","single_louvain",5,37,1
"44","single_louvain",5,36,0.994870569682992
"45","single_louvain",5,35,0.99170514342013
"46","single_louvain",5,34,0.985331199642001
"47","single_louvain",5,37,0.998858021607467
"48","single_louvain",5,36,0.995748137345255
"49","single_louvain",5,36,0.990258988521973
"50","single_louvain",5,35,0.990213234018362
"51","single_louvain",5,36,0.994479527982572
"52","single_louvain",5,37,1
"53","single_louvain",5,35,0.990165681200344
"54","single_louvain",5,37,0.998858021607467
"55","single_louvain",5,35,0.991731147326587
"56","single_louvain",5,36,0.991028293221334
"57","single_louvain",5,35,0.991337201523748
"58","single_louvain",5,37,1
"59","single_louvain",5,34,0.986899081593693
"60","single_louvain",5,37,0.995436829031431
"61","single_louvain",5,34,0.985990899149647
"62","single_louvain",5,36,0.996017020181331
"63","single_louvain",5,37,1
"64","single_louvain",5,36,0.995226991717525
"65","single_louvain",5,37,1
"66","single_louvain",5,35,0.989692058033438
"67","single_louvain",5,37,0.998858021607467
"68","single_louvain",5,34,0.986593266678554
"69","single_louvain",5,34,0.987116317424529
"70","single_louvain",5,39,0.997718648469088
"71","single_louvain",5,36,0.994492074891222
"72","single_louvain",5,35,0.991337201523748
"73","single_louvain",5,37,1
"74","single_louvain",5,37,1
"75","single_louvain",5,35,0.989678225303973
"76","single_louvain",5,36,0.996017020181331
"77","single_louvain",5,35,0.99122604429596
"78","single_louvain",5,35,0.991608451235047
"79","single_louvain",5,34,0.984934113916627
"80","single_louvain",5,34,0.987284775479124
"81","single_louvain",5,37,1
"82","single_louvain",5,36,0.995626417019091
"83","single_louvain",5,36,0.996017020181331
"84","single_louvain",5,36,0.995748137345255
"85","single_louvain",5,37,1
"86","single_louvain",5,35,0.990062592639581
"87","single_louvain",5,37,1
"88","single_louvain",5,34,0.986377403186485
"89","single_louvain",5,35,0.991731147326587
"90","single_louvain",5,36,0.996017020181331
"91","single_louvain",5,36,0.990709551521075
"92","single_louvain",5,38,0.999419798304924
"93","single_louvain",5,35,0.991533162664859
"94","single_louvain",5,37,0.995068963433678
"95","single_louvain",5,34,0.985710656448732
"96","single_louvain",5,36,0.995626417019091
"97","single_louvain",5,35,0.991564165391964
"98","single_louvain",5,36,0.996017020181331
"99","single_louvain",5,34,0.986775206585125
"100","single_louvain",5,35,0.991337201523748
"101","cons_louvain",5,37,1
"102","single_louvain",10,34,0.979252561693766
"103","single_louvain",10,33,0.976130443883668
"104","single_louvain",10,33,0.976133932820478
"105","single_louvain",10,34,0.978718369871587
"106","single_louvain",10,33,0.97447193064527
"107","single_louvain",10,33,0.97472916996554
"108","single_louvain",10,33,0.975989483037609
"109","single_louvain",10,34,0.981494424008094
"110","single_louvain",10,33,0.975365144404995
