V.g..name,V.g..comm_louvain
V0,5
V1,16
V2,4
V3,7
V4,18
V5,5
V6,23
V7,12
V8,4
V9,11
V10,1
V11,23
V12,24
V13,4
V14,6
V15,10
V16,5
V17,11
V18,19
V19,4
V20,5
V21,5
V22,0
V23,22
V24,22
V25,1
V26,19
V27,1
V28,11
V29,4
V30,12
V31,23
V32,11
V33,0
V34,20
V35,4
V36,16
V37,8
V38,7
V39,2
V40,3
V41,10
V42,3
V43,0
V44,21
V45,20
V46,28
V47,21
V48,16
V49,1
V50,18
V51,16
V52,1
V53,9
V54,21
V55,7
V56,8
V57,26
V58,7
V59,0
V60,17
V61,9
V62,3
V63,15
V64,2
V65,3
V66,14
V67,0
V68,0
V69,16
V70,7
V71,4
V72,0
V73,3
V74,29
V75,0
V76,14
V77,4
V78,17
V79,2
V80,6
V81,10
V82,27
V83,22
V84,12
V85,12
V86,27
V87,25
V88,8
V89,27
V90,8
V91,5
V92,13
V93,12
V94,13
V95,3
V96,5
V97,6
V98,7
V99,0
V100,1
V101,17
V102,6
V103,30
V104,6
V105,4
V106,1
V107,17
V108,8
V109,26
V110,16
V111,15
V112,9
V113,1
V114,7
V115,15
V116,1
V117,11
V118,8
V119,23
V120,3
V121,4
V122,0
V123,1
V124,15
V125,1
V126,12
V127,12
V128,1
V129,15
V130,17
V131,30
V132,10
V133,24
V134,19
V135,15
V136,12
V137,15
V138,25
V139,8
V140,11
V141,24
V142,3
V143,3
V144,2
V145,0
V146,15
V147,1
V148,7
V149,8
V150,1
V151,1
V152,20
V153,2
V154,1
V155,3
V156,1
V157,1
V158,9
V159,1
V160,11
V161,1
V162,11
V163,0
V164,12
V165,17
V166,9
V167,9
V168,20
V169,0
V170,1
V171,11
V172,14
V173,16
V174,17
V175,1
V176,14
V177,11
V178,8
V179,9
V180,5
V181,7
V182,17
V183,1
V184,2
V185,19
V186,7
V187,30
V188,16
V189,16
V190,0
V191,23
V192,8
V193,5
V194,3
V195,1
V196,19
V197,2
V198,3
V199,27
V200,9
V201,5
V202,10
V203,2
V204,8
V205,15
V206,6
V207,5
V208,13
V209,22
V210,12
V211,15
V212,0
V213,2
V214,18
V215,4
V216,6
V217,9
V218,9
V219,8
V220,2
V221,7
V222,24
V223,4
V224,2
V225,10
V226,13
V227,1
V228,2
V229,10
V230,12
V231,12
V232,12
V233,15
V234,7
V235,14
V236,17
V237,30
V238,31
V239,9
V240,25
V241,0
V242,8
V243,6
V244,5
V245,1
V246,12
V247,10
V248,3
V249,2
V250,15
V251,17
V252,4
V253,5
V254,14
V255,0
V256,19
V257,9
V258,15
V259,22
V260,18
V261,5
V262,11
V263,6
V264,5
V265,3
V266,3
V267,12
V268,3
V269,11
V270,0
V271,12
V272,22
V273,1
V274,18
V275,6
V276,2
V277,6
V278,20
V279,9
V280,11
V281,3
V282,20
V283,5
V284,13
V285,15
V286,3
V287,18
V288,0
V289,21
V290,18
V291,3
V292,2
V293,16
V294,0
V295,5
V296,18
V297,19
V298,18
V299,31
V300,23
V301,2
V302,16
V303,2
V304,1
V305,21
V306,22
V307,1
V308,10
V309,0
V310,23
V311,3
V312,17
V313,2
V314,8
V315,4
V316,9
V317,0
V318,28
V319,7
V320,7
V321,3
V322,4
V323,12
V324,14
V325,2
V326,25
V327,3
V328,4
V329,0
V330,18
V331,14
V332,5
V333,16
V334,8
V335,9
V336,10
V337,26
V338,1
V339,14
V340,20
V341,20
V342,10
V343,2
V344,21
V345,8
V346,8
V347,10
V348,15
V349,11
V350,7
V351,8
V352,6
V353,11
V354,21
V355,6
V356,6
V357,1
V358,8
V359,5
V360,1
V361,6
V362,3
V363,9
V364,2
V365,23
V366,4
V367,24
