V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2
3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4
5,5,5,5,5,5,5,5,5,5
6,6,6,6,6,6,6,6,6,6
7,7,7,7,7,7,7,7,7,7
8,8,8,8,8,8,8,8,8,8
3,3,3,3,3,3,3,3,3,3
9,9,9,9,2,1,9,9,2,9
10,10,10,10,4,9,10,10,9,10
11,2,2,11,9,10,11,11,10,2
12,11,11,12,5,11,11,5,5,11
13,12,12,9,10,1,12,9,11,12
14,13,13,13,11,4,13,12,12,13
15,9,14,14,12,12,14,11,13,14
7,7,7,7,7,7,7,7,7,7
9,2,15,15,2,2,9,13,14,13
16,1,9,16,13,13,15,14,15,15
7,7,7,7,7,7,7,7,7,7
14,13,12,13,11,4,13,12,12,13
6,6,6,6,6,6,6,6,6,6
17,8,16,8,8,8,8,8,16,8
7,14,17,11,9,14,16,7,10,16
18,15,18,17,14,15,17,15,17,17
10,10,10,10,4,9,10,10,9,10
19,12,19,2,3,16,2,3,18,18
1,11,1,4,1,17,1,1,4,4
18,8,20,8,15,8,8,12,19,8
13,12,12,9,10,1,12,9,11,12
8,8,8,8,8,8,8,8,8,8
18,7,6,6,11,15,17,12,19,7
18,15,18,17,14,15,17,15,17,17
20,16,13,16,16,13,18,16,20,19
8,8,8,8,8,8,8,8,8,8
10,10,13,13,11,4,13,10,12,13
17,8,16,8,8,8,8,8,16,8
9,9,5,9,5,5,9,9,2,9
1,11,1,4,1,17,1,1,4,4
21,4,10,10,4,9,19,10,16,10
22,17,21,18,17,18,20,17,21,20
23,10,22,19,18,19,4,4,22,21
1,5,1,4,1,17,1,1,4,4
5,5,5,5,5,5,8,5,5,5
24,2,23,7,7,11,10,7,9,22
20,16,13,20,16,13,18,16,20,19
20,16,13,20,16,13,18,16,20,19
12,11,11,12,5,5,11,5,5,11
15,9,14,14,12,12,14,11,13,14
18,15,20,17,15,15,17,15,23,17
4,18,4,4,19,11,3,4,4,4
1,11,4,4,1,17,1,1,4,4
18,15,20,17,15,15,17,15,23,17
8,8,8,8,8,8,8,8,8,8
5,5,5,5,5,5,5,5,5,5
13,12,12,9,12,1,12,9,11,12
21,4,10,10,4,9,19,10,16,10
15,9,14,14,12,12,14,11,13,14
9,2,15,15,2,2,9,13,14,13
12,11,11,12,5,5,11,5,5,11
19,19,19,2,20,16,5,18,18,18
4,20,17,21,21,14,21,19,24,23
16,1,9,16,13,13,15,14,15,15
5,5,5,5,5,5,5,5,5,5
21,4,10,10,4,9,19,10,16,10
8,8,8,8,8,8,8,8,8,8
21,4,10,10,4,9,19,10,16,10
9,9,9,9,2,1,9,9,2,9
4,4,4,4,21,4,1,4,10,4
11,14,20,11,9,10,16,20,10,16
15,9,14,14,12,12,14,11,13,14
2,2,2,2,2,2,2,2,2,2
15,9,14,14,12,12,14,11,13,14
1,1,2,1,1,10,1,1,1,1
3,3,3,3,3,3,3,3,3,3
20,11,1,4,1,17,1,1,4,4
22,17,21,18,17,18,20,17,21,20
4,20,17,21,21,14,21,19,24,23
17,8,16,8,8,8,8,8,16,8
3,3,3,3,3,3,3,3,3,3
22,17,21,18,17,18,20,17,21,20
22,17,21,18,17,18,20,17,21,20
2,13,2,13,15,17,13,21,23,2
1,11,1,22,1,11,9,1,4,4
19,19,19,2,20,16,22,18,18,18
19,19,19,2,20,16,22,18,18,18
14,13,13,13,11,4,13,12,12,13
20,16,13,20,16,13,18,16,20,19
6,6,6,6,6,6,6,6,6,6
23,10,22,19,18,19,4,4,22,21
24,2,7,7,7,11,10,7,9,22
8,8,8,8,8,8,8,8,8,8
2,13,2,13,15,17,13,21,23,2
11,14,20,11,9,10,16,20,10,16
9,9,9,15,2,1,9,13,14,13
23,10,22,19,18,19,4,4,22,21
18,15,18,17,14,15,17,15,17,17
7,7,7,7,7,7,7,7,7,7
6,6,6,6,6,6,6,6,6,6
19,19,19,2,20,16,22,18,18,18
8,8,8,8,8,8,8,8,8,8
17,8,16,8,8,8,8,8,16,8
2,13,2,13,15,17,13,21,23,2
7,7,7,7,7,7,7,7,7,7
19,18,9,22,19,11,7,6,9,24
15,9,14,14,12,12,14,11,13,14
4,20,17,21,21,14,21,19,24,23
4,18,4,4,19,17,3,4,4,4
13,12,12,9,10,1,12,9,11,12
9,2,15,15,6,2,9,13,14,13
21,18,9,22,2,11,5,2,9,10
2,13,2,13,15,17,13,21,23,2
6,6,6,6,6,6,6,6,6,6
4,20,17,21,21,14,21,19,24,23
22,17,21,18,17,18,20,17,21,20
2,2,2,9,12,1,11,2,2,2
10,10,10,10,4,9,10,10,9,10
19,18,6,22,19,11,7,12,19,24
14,13,13,13,11,11,13,12,12,13
8,8,8,8,8,8,8,8,8,8
23,10,22,19,18,19,4,4,22,21
16,1,9,16,13,13,15,14,15,15
24,2,15,15,2,11,10,13,14,13
9,2,15,15,2,2,9,13,14,13
13,12,12,9,10,1,12,9,11,12
2,13,2,13,15,17,13,21,23,2
1,5,1,4,1,17,1,1,4,4
10,2,23,10,4,11,10,10,9,22
4,20,17,21,21,14,21,19,24,23
1,1,1,1,1,1,1,1,1,1
1,5,1,4,1,17,9,1,4,4
18,15,20,17,15,15,17,15,23,17
19,18,6,22,19,11,5,12,19,24
1,8,1,1,1,1,1,1,1,1
8,18,9,19,18,19,3,2,8,21
16,2,7,22,15,11,9,6,9,24
1,1,1,1,1,1,1,1,1,1
24,5,8,12,22,11,23,22,25,22
1,11,4,4,1,17,1,1,4,4
19,12,19,2,3,16,2,3,18,18
13,12,23,9,15,11,10,7,23,17
19,18,6,22,19,11,5,12,19,24
23,10,22,19,18,19,4,4,22,21
2,2,2,2,3,2,2,3,2,13
23,10,22,19,18,19,4,4,22,21
1,11,4,4,1,17,1,1,4,4
11,14,20,11,9,10,16,20,10,16
13,12,12,9,10,1,12,9,11,12
22,17,21,18,17,18,20,17,21,20
22,17,21,18,17,18,20,17,21,20
19,12,19,2,3,16,2,3,18,18
5,5,5,5,5,5,8,5,5,5
1,11,4,4,1,17,1,1,4,4
6,4,10,10,4,9,19,10,6,6
10,10,10,10,4,9,10,10,9,10
10,10,10,10,4,9,22,10,9,10
20,16,13,16,16,13,18,16,20,19
23,18,9,19,18,19,3,2,22,21
24,5,8,12,22,11,23,22,25,22
17,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6
19,18,6,22,19,11,5,12,19,24
17,8,16,8,8,8,8,8,16,8
11,2,2,1,9,10,11,11,10,2
21,4,10,10,12,9,19,10,16,10
24,5,8,12,22,11,23,22,25,22
24,5,1,4,1,17,23,1,4,4
11,14,20,11,9,10,16,20,10,16
11,14,20,11,9,10,16,20,10,16
24,2,19,7,7,2,10,2,9,22
12,11,11,12,5,5,11,5,5,11
22,17,21,18,17,18,20,17,21,20
9,2,15,15,2,2,9,13,14,13
5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5
4,4,4,4,4,4,1,4,4,4
21,4,10,10,4,9,19,10,16,10
3,3,3,3,3,3,3,3,3,3
20,16,13,20,16,13,18,16,20,19
4,10,4,4,18,4,4,4,4,4
2,2,2,2,2,2,18,2,2,2
4,20,17,21,21,14,21,19,24,23
24,10,23,6,14,11,10,7,9,17
12,11,11,12,5,5,11,5,5,11
2,2,3,2,2,2,2,2,2,2
2,2,2,2,2,2,13,13,2,13
5,5,5,5,5,5,5,5,5,5
11,14,20,11,9,10,16,20,10,16
15,9,14,14,12,12,14,11,13,14
2,13,2,13,15,17,13,21,23,2
2,13,2,13,15,17,13,21,23,2
21,4,10,10,4,9,19,10,16,10
22,17,21,18,17,18,20,17,21,20
21,4,10,10,4,9,19,10,16,10
2,13,2,13,15,17,13,21,23,2
2,13,2,13,15,17,13,21,23,2
22,17,21,18,17,18,20,17,21,20
2,2,2,2,2,2,2,2,2,2
11,14,20,11,9,10,16,20,10,16
18,15,18,17,14,15,17,15,17,17
16,1,9,16,13,13,15,14,15,15
7,7,7,7,7,7,7,7,7,7
22,17,21,18,17,18,20,17,21,20
19,19,19,2,20,16,22,18,18,18
4,20,17,21,21,14,21,19,24,23
19,2,23,7,20,2,10,7,9,22
18,7,13,20,11,15,17,12,19,7
18,15,18,17,14,15,17,15,17,17
5,5,5,5,5,5,5,5,5,5
4,20,17,21,21,14,21,19,24,23
4,4,4,8,21,4,12,4,16,4
18,15,18,17,14,15,17,15,17,17
14,13,13,15,11,4,13,12,12,13
16,6,7,22,2,11,9,6,9,6
20,16,13,20,16,13,18,16,20,19
2,13,3,13,15,17,13,21,23,2
14,13,13,13,11,4,13,12,12,13
18,15,18,17,14,15,17,15,17,17
8,8,8,8,8,8,8,8,8,8
6,6,6,6,6,6,6,6,6,6
8,8,8,8,8,8,8,8,8,8
7,7,7,7,7,7,7,7,7,7
24,5,8,12,22,11,23,22,25,22
3,3,3,3,3,3,3,3,3,3
21,4,10,10,4,9,19,10,16,10
10,10,10,10,4,9,10,10,9,10
12,11,11,12,5,5,8,5,5,11
9,18,6,15,22,11,9,6,14,24
9,2,15,15,5,2,5,13,14,13
19,1,9,19,13,16,15,14,15,21
9,9,9,9,2,1,9,9,2,9
4,4,4,4,21,4,1,4,4,4
15,9,14,14,12,11,14,11,13,14
16,1,9,16,13,13,15,14,15,15
3,3,3,3,3,3,3,3,3,3
23,18,4,19,18,19,3,2,22,21
19,18,6,22,19,11,5,12,19,24
19,19,19,2,20,16,22,18,18,18
10,10,10,10,4,9,19,10,9,10
9,9,9,9,2,1,9,9,2,9
21,4,10,10,4,9,19,10,16,10
8,8,8,8,8,8,8,8,8,8
16,1,9,16,13,13,15,14,15,15
5,5,3,5,5,5,5,5,5,5
15,9,14,14,12,12,14,11,13,14
19,18,6,22,19,11,7,12,19,24
4,20,17,21,21,14,21,19,24,23
13,12,12,9,10,1,12,9,11,12
7,14,2,3,8,3,16,8,3,8
19,18,19,22,19,16,2,3,19,18
13,12,12,9,10,1,12,9,11,12
1,11,4,4,1,17,1,1,4,4
16,1,9,16,13,13,15,14,15,15
13,12,23,9,15,11,10,7,23,17
6,6,6,6,6,6,6,6,6,6
10,10,10,10,4,9,10,10,9,10
2,13,3,13,15,17,13,21,23,2
16,1,9,16,13,13,15,14,15,15
23,9,9,19,18,19,4,4,22,21
18,5,20,5,15,15,17,15,23,17
19,19,19,2,20,16,22,18,16,18
23,10,22,19,18,19,4,4,22,21
23,10,22,19,18,19,4,4,22,21
16,1,9,16,13,13,15,14,15,15
3,3,3,3,3,3,3,3,3,3
17,8,16,8,8,8,8,8,16,8
18,7,20,20,11,15,17,12,19,7
6,6,6,6,6,6,6,6,6,6
18,15,20,17,15,15,17,15,23,17
19,2,13,22,19,11,5,16,20,24
23,10,22,19,18,19,4,4,22,21
11,14,20,11,9,10,16,20,10,16
1,1,1,1,1,1,1,1,1,1
19,12,19,2,3,16,2,3,18,18
19,2,3,4,3,3,10,3,14,4
21,4,10,10,4,9,19,10,16,10
22,17,21,18,17,18,20,17,21,20
13,18,12,9,15,1,7,9,11,12
7,14,3,1,8,1,16,8,3,1
8,8,8,8,8,8,8,8,8,8
18,15,3,17,15,15,17,15,23,17
19,19,19,2,20,16,22,18,18,18
10,10,10,10,4,9,10,10,9,10
6,6,6,6,6,6,6,6,6,6
11,14,20,11,9,10,16,20,10,16
11,14,20,11,9,10,16,20,10,16
22,17,21,18,17,18,20,17,21,20
23,18,4,19,18,19,3,2,22,21
13,12,12,9,10,1,12,9,11,12
21,1,9,19,13,9,15,14,15,10
8,8,8,8,8,8,8,8,8,8
18,15,20,17,15,15,17,15,23,17
15,9,14,14,12,12,14,11,13,14
1,2,1,4,8,2,9,1,14,4
2,2,2,2,2,2,2,2,2,2
22,17,21,18,17,18,20,17,21,20
1,11,1,4,1,5,1,1,4,4
21,4,10,10,4,9,19,10,16,10
11,14,20,11,9,10,16,20,10,16
18,15,20,17,15,15,17,15,23,17
19,12,10,10,4,16,10,10,18,10
18,15,20,10,15,9,17,15,9,17
23,5,4,19,18,11,23,2,22,21
22,17,21,18,17,18,20,17,21,20
8,18,9,19,18,19,3,2,8,21
16,1,9,16,13,13,15,14,15,15
16,1,9,16,13,13,15,14,15,15
24,2,23,7,7,11,10,7,9,22
9,2,15,15,2,2,9,13,14,13
