rep,trial,mu,method,modularit,nc,nmi,membership
1,1,10,LV,0.8475065740903176,32,0.9696668741044989,
1,2,10,LV,0.8462991160840898,31,0.9629930549889534,
1,3,10,LV,0.8481351634187585,34,0.9776804087945135,
1,4,10,LV,0.8469474261606461,35,0.9753466022836392,
1,5,10,LV,0.8468511066766081,32,0.9653963681721465,
1,5,10,CONS,0.8485467864469884,36,0.9860321562951008,
2,1,10,LV,0.8470627811158382,37,0.9870648612824984,
2,2,10,LV,0.8470728699155495,33,0.9713191723047591,
2,3,10,LV,0.8482867999819697,34,0.9821955766832715,
2,4,10,LV,0.8446975096121516,33,0.9651333510019187,
2,5,10,LV,0.8469788727589923,34,0.9750705458957825,
2,5,10,CONS,0.8483370536258158,37,0.9902906524259399,
3,1,10,LV,0.8476189975829522,34,0.976278437545604,
3,2,10,LV,0.8456270497395341,33,0.965874838176029,
3,3,10,LV,0.8473562319391453,34,0.9791101467550877,
3,4,10,LV,0.8450729652451893,34,0.9691254944824341,
3,5,10,LV,0.8451977617940737,32,0.9650545120917897,
3,5,10,CONS,0.8485423321467381,38,0.9952122345742647,
4,1,10,LV,0.8469922356597421,32,0.9682565911431155,
4,2,10,LV,0.8479379178666631,35,0.9810776996829847,
4,3,10,LV,0.8480854046971624,33,0.9770483344795335,
4,4,10,LV,0.8473075011329914,35,0.9805397315478552,
4,5,10,LV,0.8473978815500297,34,0.9740556098540304,
4,5,10,CONS,0.8490237392122179,36,0.9857328798288643,
5,1,10,LV,0.8445539060177675,33,0.963242306168848,
5,2,10,LV,0.84658255424957,32,0.9680441735592888,
5,3,10,LV,0.8483912666476618,34,0.9832777382189786,
5,4,10,LV,0.8483010765853352,35,0.9818207420668197,
5,5,10,LV,0.8461793829705326,34,0.9674743953506827,
5,5,10,CONS,0.8486928265816805,37,0.9907825131398004,
6,1,10,LV,0.8471607376503956,33,0.9711434267790926,
6,2,10,LV,0.8475360029287214,32,0.9721629094160815,
6,3,10,LV,0.8460309443664754,32,0.9682668830271374,
6,4,10,LV,0.8456893718720914,33,0.9674538658230395,
6,5,10,LV,0.8441269023288455,32,0.9659411989346383,
6,5,10,CONS,0.8485979157225073,37,0.9884958423150079,
7,1,10,LV,0.8471009662709728,37,0.9829170116415548,
7,2,10,LV,0.8476424492834136,37,0.98952467620652,
7,3,10,LV,0.846404191884859,34,0.9760796206515655,
7,4,10,LV,0.8450356176507854,32,0.9631326982214282,
7,5,10,LV,0.8437910024048652,33,0.9660247962384861,
7,5,10,CONS,0.8487209610080454,37,0.9890410267350495,
